F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,Class
0.196319,0.0146,0.031199,0.015208,0.044037,0.037686,0.012134,0.040577,0.178802,3.193827,1.91521,2.000121,3.269259,3.016649,3.351395,4.108994,3.216067,3.072155,0.646282,-5.50E-05,1.583431,0.648375,1.356619,0.196799,0.415246,0.160212,0.036864,0.03462,0.081985,2.699663,1.955892,1.949251,3.069346,2.574346,2.859882,3.266803,2.740744,2.564343,-0.028266,0.004237,0.032287,0.003509,-0.007149,-0.000318,-0.010811,-0.000372,-0.004171,0
0.292148,0.009585,0.007487,0.007941,0.013989,0.013028,0.006286,0.075039,0.281257,3.244547,2.334213,2.623374,2.775814,3.592119,3.44892,4.018429,2.729269,3.552066,0.994402,-1.40E-05,0.660205,0.491283,0.378258,0.098782,0.124869,0.072199,0.013345,0.059819,0.130401,3.255466,3.171944,3.069437,2.577047,2.924002,2.913923,3.200258,2.503883,3.417567,0.012412,-0.046206,-0.022272,0.004983,0.247401,-0.001948,0.009505,3.00E-05,0.009423,0
0.184067,0.01209,0.00998,0.006142,0.006248,0.008854,0.01079,0.074936,0.166584,3.233517,2.590932,2.735535,2.659449,4.094472,4.691215,5.034195,3.890273,3.345719,0.631948,2.40E-05,0.810881,0.63172,0.480716,0.102011,0.050566,0.042582,0.020084,0.074911,0.074762,2.634994,2.730387,2.862969,2.180884,3.507416,4.426813,3.597452,2.885246,2.570789,0.055781,-0.015803,0.119951,0.023034,-0.00077,0.003307,0.005261,0.000338,-0.005707,0
0.143508,0.012238,0.011529,0.011233,0.017136,0.016975,0.019899,0.10252,0.093262,4.081595,2.470519,2.483191,3.144133,3.58481,3.973356,4.07602,4.223674,3.666168,0.595798,-0.000243,0.724627,0.453819,0.494846,0.14452,0.178453,0.077007,0.049353,0.094783,0.057422,3.127861,13.513474,2.07994,3.09455,3.072646,3.110486,3.530027,3.385106,3.021431,0.129661,-0.489695,0.025343,0.005493,0.008437,0.016346,0.010968,-3.60E-05,-0.026412,0
0.420825,0.00989,0.018607,0.003412,0.007386,0.009919,0.03488,0.183399,0.376354,3.508789,2.596809,2.325196,2.91188,3.647934,4.225826,3.781694,3.97863,3.585705,1.639391,1.60E-05,0.968075,0.473135,0.79736,0.052062,0.062148,0.039818,0.073835,0.173067,0.178113,2.984137,7.761043,2.136517,30.176725,3.328399,3.617841,3.068282,3.025427,2.922938,-0.128028,0.548944,-0.004525,-0.653914,-0.024793,-0.011688,-0.004722,0.000483,0.005833,0
2.410509,0.021602,0.016358,0.013215,0.018877,0.075388,0.257794,1.733829,1.652848,3.184156,0.486418,0.349774,2.08565,6.308881,4.264007,3.861668,2.38913,3.982985,8.751442,7.50E-05,1.957867,0.159408,0.057253,0.063521,0.123794,0.299309,0.545253,1.566031,0.972798,2.534343,1066.134399,477.669556,725.542175,134.895294,3.450278,3.172518,1.827959,3.003767,-0.028906,27.745468,-6.798655,-7.825317,-1.742887,-0.015661,0.001656,-0.000112,0.043819,1
0.357293,0.012344,0.010619,0.044076,0.057561,0.032857,0.059086,0.151963,0.307364,3.846592,2.059843,2.082102,2.152824,2.482856,4.937034,7.018443,3.898094,4.048417,1.411717,7.00E-06,1.261418,0.625188,0.511588,0.710899,0.584427,0.154458,0.122698,0.143304,0.176299,2.820191,2.284975,2.504163,1.950354,2.021643,3.81738,6.436534,3.045872,2.934445,-0.138325,-0.002613,-0.269888,0.010293,0.022181,-0.006175,0.010202,-0.002315,0.011861,1
0.202852,0.010985,0.009025,0.003414,0.005781,0.006842,0.006552,0.075865,0.187237,2.879795,2.171629,2.300633,3.070184,4.540555,5.372174,4.141315,3.095107,3.002516,0.606691,2.70E-05,0.727244,0.55561,0.448006,0.055741,0.048662,0.033466,0.012995,0.074594,0.082519,2.628713,2.398675,2.244307,3.408168,4.123657,5.84549,2.997416,2.573545,2.570067,0.011831,-0.025286,0.144179,0.081878,-0.040508,0.037561,-0.010929,-0.000116,0.007351,0
0.21701,0.006471,0.014148,0.015193,0.059256,0.037707,0.014385,0.137706,0.150059,3.61403,1.996975,1.958366,2.478656,2.840796,3.960447,4.810198,3.060386,3.287418,0.809952,2.10E-05,0.913573,0.286511,0.60881,0.215357,0.523536,0.191257,0.035137,0.122568,0.087011,2.76983,2.013249,1.979732,2.356667,2.145343,3.107044,3.628187,2.502448,2.875406,0.226705,0.016936,-0.068681,-0.017566,0.00477,0.0177,0.01652,0.000201,-0.083243,0
0.126069,0.003385,0.002613,0.002119,0.005037,0.003443,0.015129,0.058409,0.110423,3.428979,2.329032,3.192431,3.438874,3.661247,3.903569,4.265261,4.558052,3.514646,0.474511,1.00E-06,0.246423,0.192863,0.113894,0.03909,0.046481,0.015793,0.028072,0.051819,0.055235,2.655872,2.774514,2.919822,3.250519,3.198561,3.220861,3.504662,3.347216,2.731284,-0.014928,0.075739,0.080088,-0.009934,-0.007271,0.005943,-0.001636,-0.000207,0.003701,0
0.715638,0.004685,0.004083,0.012933,0.045683,0.197288,0.427101,0.40382,0.354146,3.707261,2.162834,2.412821,3.479306,3.751863,3.553572,3.336753,4.393707,4.23549,2.771263,-7.00E-06,1.494022,0.204123,0.173737,0.187693,0.296963,0.938475,0.937445,0.476334,0.225622,2.907441,47.766148,16.722301,3.272278,3.300726,2.952084,2.468562,3.291451,3.160619,-0.041234,2.322894,-0.810127,-0.002176,-0.004279,0.016539,-0.006174,-0.009,-0.001526,0
0.25888,0.069039,0.035162,0.020037,0.013713,0.011383,0.007875,0.024056,0.244246,4.010203,3.498656,3.55758,5.577744,6.520549,9.134346,8.658899,3.183256,3.25654,1.194889,-0.000353,5.135441,4.970015,1.222259,0.372996,0.140171,0.054342,0.018845,0.023892,0.102612,3.220744,7.022791,6.11109,17.995537,14.191395,20.834139,16.568401,2.286717,3.194673,0.011876,0.253548,-0.027806,-0.223849,-0.132456,-0.079619,-0.131217,-0.000451,0.000217,0
1.692395,0.009042,0.013706,0.005365,0.077758,0.118142,0.479988,0.654621,1.478167,3.948198,2.718896,2.447813,3.683431,3.825942,4.034148,4.117144,4.072079,4.282234,7.602959,-2.80E-05,1.820739,0.441906,0.60064,0.071102,0.586682,0.469699,1.10614,0.627088,0.756273,3.058425,3.217658,2.362426,3.578727,3.411076,3.307575,3.361318,3.22811,3.112333,0.008171,-0.016818,0.004265,0.015147,0.000345,-0.010115,0.004243,-0.008123,0.001023,1
0.124068,0.020265,0.01699,0.016743,0.023336,0.018253,0.010084,0.073837,0.089327,3.541984,2.011326,2.025151,3.409487,3.335605,4.202512,4.110436,3.60994,3.403305,0.470707,-1.30E-05,1.380475,1.036492,0.833322,0.253534,0.235535,0.086234,0.025375,0.069075,0.046248,2.854671,2.230738,2.295877,3.248564,2.749747,3.285698,3.289005,2.901308,2.756186,-0.004383,0.002579,-0.189674,0.013088,0.004814,-0.000347,0.002012,-0.001476,0.011526,1
1.799464,0.009767,0.017863,0.032182,0.35338,0.482155,0.859389,1.083342,0.983435,5.533353,3.835434,2.662143,4.104967,6.655595,4.728457,6.053286,6.657089,4.797046,11.230944,-2.90E-05,4.252796,0.212872,0.639423,0.415698,2.476752,2.466427,1.803336,1.308721,0.528315,4.099036,565.695557,8.717793,4.183075,8.759961,4.648096,5.060018,4.756535,3.551682,0.002937,-16.739895,0.315117,0.030568,0.008533,-0.040707,0.000575,-0.002836,0.013383,1
0.143407,0.005087,0.010488,0.00864,0.012609,0.020923,0.020458,0.108308,0.087237,4.312781,2.169489,2.193689,3.152601,3.409508,3.394087,4.244414,4.018371,3.97557,0.648112,1.20E-05,0.552237,0.220699,0.449948,0.108101,0.129,0.096905,0.049734,0.099707,0.054665,3.154411,3.44722,1.986902,3.098802,3.048233,2.841846,3.51799,3.47925,3.160558,0.11709,0.13884,0.019515,-0.000479,0.000707,-0.008314,0.001698,-1.80E-05,-0.033647,0
0.404986,0.190486,0.146817,0.13891,0.103777,0.112607,0.083625,0.063887,0.22887,9.484784,2.457146,3.528512,3.217143,5.223968,5.273037,11.697703,22.955842,5.662979,15.476414,0.000466,14.070521,13.052618,4.393024,2.64278,1.0426,0.416367,0.222449,0.068613,0.101199,199.682083,34.159641,133.916656,145.981445,60.809483,830.539368,1257.887817,1011.558044,7.702474,7.804605,1.626087,1.385846,0.434049,-0.077892,4.491444,-2.996082,2.819063,0.017722,1
0.190097,0.0048,0.003388,0.001968,0.002535,0.002373,0.0241,0.017584,0.187612,2.546871,2.370555,3.186961,3.178614,4.144861,4.455759,2.717481,3.806345,2.43325,0.498372,0,0.319634,0.258183,0.158868,0.034387,0.021962,0.009677,0.050194,0.016762,0.07495,2.174865,3.110435,3.970684,9.689477,6.3377,5.926261,1.867908,3.021995,2.140159,-0.013671,0.115849,0.037637,-0.26796,-0.11474,-0.106365,-0.000802,0.005633,-0.000799,1
5.967786,0.039349,0.035392,0.064064,1.522052,2.419043,4.870671,1.446985,1.27351,4.464047,2.201489,3.092727,3.638809,3.595433,4.201803,4.271402,5.587991,5.833965,33.476597,3.00E-05,19.699109,1.881055,1.639531,0.826837,8.729231,13.070313,11.416813,1.786864,0.75758,3.745651,9.743103,3.690063,4.242719,3.708646,4.384177,3.400945,5.155647,4.091133,0.10925,0.588733,-0.048802,-0.023531,0.000387,-0.007888,-0.001084,-0.018179,0.013036,1
0.224046,0.016903,0.015387,0.017113,0.025729,0.019655,0.010746,0.042355,0.215466,3.159342,2.008144,2.420258,2.634243,3.276693,3.670764,4.13402,3.870043,3.281034,0.858078,2.80E-05,1.182205,0.854051,0.703665,0.296272,0.254004,0.094631,0.025733,0.033933,0.094616,2.643427,2.380454,2.497882,2.440752,2.554218,3.038924,3.283782,3.147812,2.603375,-0.083751,0.03692,0.04883,-0.009817,0.059005,0.004415,0.01293,-0.00103,0.004679,0
0.345512,0.003574,0.007558,0.006305,0.017836,0.017668,0.016367,0.284443,0.193583,2.949152,2.266111,2.545014,3.265189,2.712154,3.933092,4.820287,2.835285,3.312151,1.088603,1.10E-05,0.46686,0.1271,0.267066,0.106125,0.169823,0.081691,0.03484,0.261561,0.117671,2.467559,191.482452,4.226993,3.554472,2.349173,3.397585,3.569388,2.430853,2.758425,0.047353,7.586315,-0.133484,-0.045831,-0.028185,0.004115,-0.011198,-0.000236,-0.056409,0
0.904396,0.013431,0.009992,0.018726,0.137811,0.246797,0.114609,0.524803,0.670125,4.171856,1.146425,1.397368,3.245394,3.509576,4.071227,4.58932,4.231594,4.05039,4.123523,-5.30E-05,1.82304,0.405045,0.164104,0.205254,1.122821,1.144991,0.27142,0.516216,0.421036,3.141916,621.593018,343.024017,20.05171,3.002171,3.582636,3.576303,3.286477,3.226153,0.080174,-18.680086,5.373518,0.481669,0.010142,-0.007666,0.013809,0.00121,0.009353,1
0.432354,0.003952,0.003068,0.003033,0.008642,0.038961,0.056515,0.212571,0.370053,4.22297,1.896567,2.103499,3.027858,3.182945,2.89174,4.191162,4.319656,4.006647,1.966888,5.00E-06,0.398691,0.156866,0.098727,0.042324,0.075687,0.143795,0.116897,0.191989,0.214117,3.037418,366.010437,101.713608,94.265457,3.497597,2.211209,3.095179,3.230882,3.065983,0.018412,12.496346,-2.075524,-1.677678,-0.033747,-0.00022,0.007704,0.004756,-0.002342,0
1.769391,0.027952,0.021512,0.026871,0.834302,1.175151,0.831279,0.339058,0.4967,3.874315,1.128843,3.478473,5.113541,2.849803,3.774241,5.185738,4.776914,4.424353,9.39404,1.50E-05,8.46648,0.261703,0.161506,0.315444,4.885338,6.551074,2.123101,0.377009,0.283371,2.842535,851.329407,391.775604,69.339165,2.523916,2.921289,4.203367,3.618387,3.370279,-0.081455,22.346626,-5.451605,-1.304048,9.50E-05,-0.05896,0.018045,0.013663,0.005545,1
1.728469,0.01442,0.015095,0.108682,0.484134,0.670671,1.006983,0.936475,0.632658,8.393495,2.198869,3.641224,3.454744,4.680444,5.819815,6.225894,7.070175,7.855665,18.805828,2.10E-05,5.703031,0.628561,0.566734,1.334867,3.781492,3.020494,2.254641,1.168987,0.3885,10.720413,72.081711,15.700955,4.031258,5.058855,6.584587,6.130458,7.182097,10.41155,0.152278,3.779289,-0.537514,0.007987,0.015385,-0.050281,0.00644,-0.001282,0.02863,1
3.176539,0.015615,0.018888,0.066407,1.14906,1.720444,1.866664,1.142465,1.007441,4.824154,2.778915,4.953749,4.035391,3.815612,3.935964,4.890097,5.499258,4.699092,16.390572,-0.000272,12.639458,0.799924,0.678514,0.813558,7.039055,9.440217,4.08567,1.506187,0.588056,3.752823,103.864532,16.869041,5.03721,3.551155,3.76191,3.992109,4.266341,3.504317,-0.065593,-5.690575,0.918643,0.018575,-0.000371,-0.042463,0.003461,-0.014347,0.015929,1
0.263176,0.005867,0.00455,0.006006,0.018232,0.064405,0.135118,0.141939,0.162297,4.284544,1.816184,1.492772,3.316044,3.855188,3.752225,4.663787,5.311248,3.506849,1.180653,1.90E-05,0.510802,0.168708,0.132866,0.065241,0.150814,0.265124,0.276431,0.174114,0.104893,3.063589,528.121399,210.093735,66.347466,3.407318,3.177968,3.354614,3.963593,2.792894,0.152729,16.450043,-3.542367,-1.205018,-0.024138,-0.001593,0.007261,0.07926,-0.004956,0
0.188072,0.009462,0.007949,0.022493,0.017231,0.026322,0.021141,0.049085,0.175688,4.101323,2.006351,2.268867,2.303886,3.225058,3.500719,4.504648,4.406726,3.982409,1.01675,-1.00E-06,0.758211,0.473377,0.392497,0.374505,0.16325,0.127023,0.047283,0.045735,0.092185,3.087897,2.162612,2.289257,1.815656,2.829421,2.934123,3.302476,3.312169,3.089201,-0.001866,-0.013879,-0.087407,-0.000105,0.002613,0.004794,0.002982,0.006894,-0.015607,1
1.065974,0.008715,0.008663,0.033706,0.153834,0.216472,0.321529,0.756516,0.623607,3.835949,3.658545,2.558355,2.339372,3.368919,3.827516,3.920441,4.570404,4.104946,4.592488,8.00E-05,1.940943,0.227069,0.267045,0.493706,1.123336,0.973695,0.651787,0.774117,0.404397,2.958085,677.899048,102.586334,2.622086,3.248112,3.170089,3.198961,3.397373,3.075773,0.035118,20.161325,-2.187333,-0.033842,-0.001902,-0.017473,0.00526,-0.004625,-0.006447,1
0.208879,0.003053,0.006613,0.010184,0.029433,0.029284,0.020521,0.053626,0.196098,3.926285,1.965124,2.354149,2.976823,3.403912,3.686522,3.791945,3.858468,3.949438,0.92213,-6.00E-06,0.471074,0.13081,0.278201,0.139437,0.274219,0.138033,0.045975,0.048822,0.095116,3.016851,7.307322,2.161917,2.900394,2.664811,2.893616,3.042233,3.086031,2.992801,-0.010613,-0.550391,0.15738,-0.026485,0.002401,-0.000255,-0.005753,-0.002681,-0.002853,0
0.30813,0.004991,0.004597,0.004277,0.004957,0.00537,0.017724,0.029575,0.306003,2.214774,2.289912,2.834128,3.657167,3.741343,3.742635,3.805242,4.117325,2.170837,0.701174,-8.00E-06,0.370991,0.279328,0.186209,0.070919,0.051781,0.021221,0.038119,0.025711,0.120881,1.704422,2.334291,2.567677,3.350043,3.382419,3.21347,2.982766,3.290899,1.668494,-0.00637,-9.10E-05,0.037779,-0.03978,-0.013798,0.002747,0.002299,0.003086,0.001392,1
0.69338,0.007145,0.006038,0.005187,0.016401,0.055945,0.112901,0.217886,0.645864,3.807205,0.547266,1.259053,2.071632,3.729904,3.270772,3.755079,3.863711,3.669229,2.688572,-2.00E-05,0.554576,0.071724,0.130675,0.039747,0.118361,0.265395,0.229392,0.238198,0.29981,3.017689,970.239807,273.078491,394.71228,6.971704,2.584843,2.868008,3.177607,2.997863,-0.012004,-25.709801,4.321504,4.923569,0.133092,0.00916,-0.010449,0.004831,0.001874,0
0.271716,0.013228,0.011254,0.0215,0.042656,0.022989,0.016225,0.121357,0.236064,3.583694,2.029716,2.457847,2.878045,2.932657,3.905262,4.248474,3.472073,3.56587,0.995654,-1.10E-05,1.035096,0.661121,0.555865,0.343372,0.408252,0.103888,0.035606,0.104853,0.126629,3.003384,2.202057,2.390714,2.245654,2.455496,3.239545,3.326717,3.120988,2.98117,-0.020521,0.001107,0.023332,-0.001351,-0.00731,-0.004515,-0.001657,0.001849,-0.053074,0
0.579184,0.012602,0.019264,0.195432,0.405351,0.169451,0.19678,0.246443,0.06506,3.676069,2.006523,2.856736,2.813966,2.10809,3.466109,5.2386,5.488865,5.510194,2.243454,-0.000156,5.13883,0.678018,0.669131,2.769672,4.109032,0.802926,0.454284,0.293679,0.051564,3.583768,2.733313,3.147903,3.339309,1.889529,3.209749,6.36294,6.803329,6.132724,0.906481,-0.116641,-0.161769,0.009942,-0.028662,0.013531,-0.072889,0.043441,-0.161856,0
2.607668,0.021949,0.033717,0.029352,0.143021,0.721188,0.307298,0.695994,2.38294,4.169673,2.331389,2.324427,3.290511,3.473555,2.712599,4.97419,4.466862,4.112201,11.883677,-3.30E-05,4.17437,0.881872,1.377518,0.320304,1.12209,3.303225,0.768909,0.658346,1.199501,3.142004,114.138443,7.431691,9.890408,3.119382,2.049895,3.585808,3.381137,3.194507,-0.024309,5.127656,-0.200958,-0.226117,-0.014751,-0.003271,0.008243,0.00166,0.004249,1
0.134031,0.007141,0.006674,0.045014,0.049199,0.053223,0.048013,0.054605,0.072807,4.446096,2.048594,1.956215,2.747077,3.701533,4.504351,4.46669,4.491333,4.993476,0.649706,-7.00E-06,1.024035,0.361581,0.309085,0.724979,0.454858,0.271147,0.107072,0.056561,0.037154,3.404208,2.169189,2.427556,2.673817,3.138117,3.600931,3.673228,3.304916,3.623426,0.012344,0.013631,-0.348145,-0.005982,-0.030265,0.007393,-0.005155,-8.00E-05,0.005772,0
0.35937,0.008038,0.017588,0.012268,0.024609,0.041881,0.018534,0.157496,0.317983,3.669202,1.927045,2.107486,2.411411,3.173147,3.677265,3.820059,4.187165,3.893971,1.37982,-2.20E-05,0.93438,0.349194,0.758436,0.182886,0.218277,0.190976,0.044029,0.12676,0.199166,2.881777,1.967094,2.012813,2.042936,2.588266,3.436029,3.134232,3.304489,2.996609,0.01041,-0.008758,-0.032856,-0.001707,-0.001046,-0.013388,-0.015331,0.006007,0.010607,0
0.404394,0.011379,0.008714,0.032802,0.027823,0.021036,0.041211,0.166503,0.362788,3.284923,2.839888,2.246133,2.303936,2.836955,4.129266,5.149156,3.781941,3.69597,1.429651,1.70E-05,0.99283,0.57004,0.446591,0.546891,0.279852,0.097523,0.078253,0.145716,0.213549,2.740762,2.381199,2.398578,1.787232,2.474638,3.461622,3.858848,2.995054,2.882459,-0.102279,0.043667,-0.011486,0.00075,-0.021716,-0.002316,0.004253,-0.002253,-0.03196,1
0.581057,0.008907,0.018209,0.014251,0.052643,0.109884,0.080307,0.282239,0.485888,4.788887,2.242009,1.943949,2.633737,3.837739,4.460486,5.440664,5.32777,5.474689,4.186674,2.20E-05,1.188389,0.366954,0.779325,0.195919,0.450152,0.482736,0.188767,0.251924,0.3086,3.620424,21.142145,2.453022,3.491088,3.583138,4.104509,4.499962,3.743245,3.947826,0.00593,-1.384444,0.001981,0.056267,0.008616,-0.015665,-0.003778,0.001055,0.00677,1
0.123722,0.003308,0.00753,0.010214,0.04535,0.075149,0.029461,0.063127,0.050792,3.744795,2.331857,2.717554,3.18162,3.459243,4.249444,4.403539,3.481658,3.499318,0.500113,7.00E-06,0.601649,0.140932,0.282372,0.157227,0.348901,0.320611,0.090352,0.060597,0.030448,2.952432,9.190936,2.578083,2.876414,2.981087,3.379969,3.422039,2.660605,2.949325,-0.05156,0.515366,-0.026246,0.010906,0.007529,-0.012087,0.00423,0.002603,0.026682,1
0.234128,0.004691,0.003904,0.012702,0.041806,0.015862,0.029299,0.159816,0.161916,3.821497,2.117967,2.155968,2.53147,2.952498,3.40903,5.16266,4.023205,3.799012,1.004501,3.00E-06,0.546698,0.237659,0.194586,0.1888,0.352186,0.097078,0.054562,0.143215,0.109144,2.836838,2.229398,2.318776,2.219658,2.79734,3.041085,4.287014,3.189387,2.858877,0.057984,-0.004618,-0.107799,0.00227,0.003344,-0.032001,0.003925,-0.000531,0.013286,1
0.153966,0.003647,0.003467,0.031213,0.047663,0.041014,0.056508,0.095289,0.080488,3.821071,3.056988,3.132905,2.429512,2.406466,3.057603,5.023018,4.217255,3.258329,0.694258,4.70E-05,0.767537,0.185315,0.118223,0.496695,0.474027,0.204235,0.11332,0.108315,0.053259,2.901421,3.23842,3.120862,2.023551,2.071449,2.191536,4.221868,3.076366,2.368001,0.0277,-0.064505,0.106384,-0.016754,-0.07655,0.018806,0.004692,-0.008947,-0.0053,0
0.254268,0.003102,0.006395,0.005632,0.014534,0.012442,0.014653,0.188777,0.168404,3.397603,1.716618,2.465269,3.052036,2.873295,3.788223,4.543618,2.941921,3.395862,0.891177,-1.00E-06,0.371933,0.111576,0.234544,0.089325,0.138265,0.057563,0.030107,0.177449,0.088459,2.754743,148.253174,4.751494,4.179353,2.52413,3.018061,3.566701,2.571716,2.837428,0.095928,-6.374757,0.04597,0.050924,-0.023237,-0.004804,0.00543,0.000155,-0.059355,0
0.887443,0.021304,0.042836,0.235148,0.512653,0.295649,0.18111,0.20371,0.552867,8.733143,1.264746,3.954237,3.86562,4.930545,7.932962,13.294224,14.160178,11.264999,11.955838,9.20E-05,6.100193,0.507659,1.242049,2.899616,4.952,1.481311,0.416942,0.222479,0.285307,10.656361,824.114624,10.024695,4.511796,6.576664,17.089041,91.221947,219.849915,11.231626,-0.050712,22.415531,-0.335718,-0.00553,0.07511,-0.130676,0.202264,-0.211536,-0.032636,1
0.889438,0.006776,0.005422,0.004987,0.007331,0.008288,0.038791,0.859662,0.224605,1.814488,0.973446,1.1548,2.65746,3.17886,3.644211,3.636131,2.030324,3.084409,1.689705,-2.70E-05,0.926809,0.130551,0.073428,0.053889,0.061617,0.026925,0.06757,0.892023,0.169552,1.71748,971.896423,358.243103,294.592133,38.07597,36.292461,3.22631,1.675413,2.801676,-0.254363,-25.946728,5.546426,4.0196,0.699951,0.516456,-0.011458,0.000351,-0.05646,0
0.30885,0.004065,0.003286,0.004431,0.012338,0.057759,0.154048,0.17895,0.190016,4.317875,1.974115,2.169735,3.150064,3.634594,3.400468,4.653126,4.938365,4.023042,1.573448,-1.50E-05,0.529366,0.185672,0.148371,0.050075,0.112489,0.241304,0.29,0.22991,0.115391,3.093862,44.957096,11.548008,5.831078,3.134428,3.228287,3.739424,3.705745,3.074356,0.077862,-2.358657,0.310087,0.122117,0.021469,0.018869,0.011156,0.036602,-0.001278,0
